,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(0.4471, device='cuda:0')","tensor(0.5006, device='cuda:0')","tensor(0.3379, device='cuda:0')","tensor(0.0655, device='cuda:0')","tensor(0.0349, device='cuda:0')","tensor(1.3860, device='cuda:0')"
0,"tensor(0.3117, device='cuda:0')","tensor(0.2384, device='cuda:0')","tensor(0.3151, device='cuda:0')","tensor(0.2108, device='cuda:0')","tensor(0.0294, device='cuda:0')","tensor(1.1053, device='cuda:0')"
0,"tensor(0.3989, device='cuda:0')","tensor(0.2546, device='cuda:0')","tensor(0.4518, device='cuda:0')","tensor(0.2200, device='cuda:0')","tensor(0.0892, device='cuda:0')","tensor(1.4145, device='cuda:0')"
0,"tensor(0.1709, device='cuda:0')","tensor(0.0934, device='cuda:0')","tensor(0.5754, device='cuda:0')","tensor(0.1046, device='cuda:0')","tensor(0.0165, device='cuda:0')","tensor(0.9608, device='cuda:0')"
0,"tensor(0.1448, device='cuda:0')","tensor(0.0139, device='cuda:0')","tensor(0.4877, device='cuda:0')","tensor(0.1981, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(0.8488, device='cuda:0')"
0,"tensor(0.3100, device='cuda:0')","tensor(0.3232, device='cuda:0')","tensor(0.2645, device='cuda:0')","tensor(0.1499, device='cuda:0')","tensor(0.0449, device='cuda:0')","tensor(1.0924, device='cuda:0')"
0,"tensor(0.4730, device='cuda:0')","tensor(0.4572, device='cuda:0')","tensor(0.3774, device='cuda:0')","tensor(0.1162, device='cuda:0')","tensor(0.1401, device='cuda:0')","tensor(1.5640, device='cuda:0')"
0,"tensor(0.4364, device='cuda:0')","tensor(0.3753, device='cuda:0')","tensor(0.3783, device='cuda:0')","tensor(0.1596, device='cuda:0')","tensor(0.0625, device='cuda:0')","tensor(1.4120, device='cuda:0')"
0,"tensor(0.3029, device='cuda:0')","tensor(0.3681, device='cuda:0')","tensor(0.2948, device='cuda:0')","tensor(0.0406, device='cuda:0')","tensor(0.0240, device='cuda:0')","tensor(1.0305, device='cuda:0')"
0,"tensor(0.6106, device='cuda:0')","tensor(0.4893, device='cuda:0')","tensor(0.3488, device='cuda:0')","tensor(0.1776, device='cuda:0')","tensor(0.1396, device='cuda:0')","tensor(1.7659, device='cuda:0')"
