,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(0.3746, device='cuda:0')","tensor(0.2183, device='cuda:0')","tensor(0.6161, device='cuda:0')","tensor(0.4580, device='cuda:0')","tensor(0.1104, device='cuda:0')","tensor(1.7775, device='cuda:0')"
0,"tensor(0.3019, device='cuda:0')","tensor(0.1527, device='cuda:0')","tensor(0.6362, device='cuda:0')","tensor(0.4867, device='cuda:0')","tensor(0.1178, device='cuda:0')","tensor(1.6953, device='cuda:0')"
0,"tensor(0.3305, device='cuda:0')","tensor(0.1978, device='cuda:0')","tensor(0.6137, device='cuda:0')","tensor(0.4135, device='cuda:0')","tensor(0.0630, device='cuda:0')","tensor(1.6185, device='cuda:0')"
0,"tensor(0.2820, device='cuda:0')","tensor(0.1266, device='cuda:0')","tensor(0.6002, device='cuda:0')","tensor(0.3512, device='cuda:0')","tensor(0.0430, device='cuda:0')","tensor(1.4030, device='cuda:0')"
0,"tensor(0.3677, device='cuda:0')","tensor(0.1915, device='cuda:0')","tensor(0.6012, device='cuda:0')","tensor(0.4030, device='cuda:0')","tensor(0.0634, device='cuda:0')","tensor(1.6268, device='cuda:0')"
0,"tensor(0.4043, device='cuda:0')","tensor(0.1721, device='cuda:0')","tensor(0.5844, device='cuda:0')","tensor(0.3937, device='cuda:0')","tensor(0.1135, device='cuda:0')","tensor(1.6679, device='cuda:0')"
0,"tensor(0.3712, device='cuda:0')","tensor(0.1680, device='cuda:0')","tensor(0.5678, device='cuda:0')","tensor(0.3493, device='cuda:0')","tensor(0.0939, device='cuda:0')","tensor(1.5503, device='cuda:0')"
0,"tensor(0.2477, device='cuda:0')","tensor(0.0939, device='cuda:0')","tensor(0.5320, device='cuda:0')","tensor(0.3306, device='cuda:0')","tensor(0.0731, device='cuda:0')","tensor(1.2774, device='cuda:0')"
0,"tensor(0.4005, device='cuda:0')","tensor(0.1775, device='cuda:0')","tensor(0.5599, device='cuda:0')","tensor(0.3600, device='cuda:0')","tensor(0.0909, device='cuda:0')","tensor(1.5887, device='cuda:0')"
0,"tensor(0.1675, device='cuda:0')","tensor(0.0891, device='cuda:0')","tensor(0.7234, device='cuda:0')","tensor(0.1653, device='cuda:0')","tensor(0.0293, device='cuda:0')","tensor(1.1746, device='cuda:0')"
0,"tensor(0.2727, device='cuda:0')","tensor(0.1521, device='cuda:0')","tensor(0.6105, device='cuda:0')","tensor(0.3695, device='cuda:0')","tensor(0.1688, device='cuda:0')","tensor(1.5736, device='cuda:0')"
0,"tensor(0.5560, device='cuda:0')","tensor(0.3855, device='cuda:0')","tensor(0.6191, device='cuda:0')","tensor(0.5079, device='cuda:0')","tensor(0.2697, device='cuda:0')","tensor(2.3381, device='cuda:0')"
0,"tensor(0.3825, device='cuda:0')","tensor(0.1634, device='cuda:0')","tensor(0.6052, device='cuda:0')","tensor(0.4460, device='cuda:0')","tensor(0.1235, device='cuda:0')","tensor(1.7207, device='cuda:0')"
0,"tensor(0.2540, device='cuda:0')","tensor(0.1288, device='cuda:0')","tensor(0.6076, device='cuda:0')","tensor(0.3856, device='cuda:0')","tensor(0.0872, device='cuda:0')","tensor(1.4633, device='cuda:0')"
0,"tensor(0.3102, device='cuda:0')","tensor(0.1703, device='cuda:0')","tensor(0.5847, device='cuda:0')","tensor(0.2651, device='cuda:0')","tensor(0.0683, device='cuda:0')","tensor(1.3985, device='cuda:0')"
0,"tensor(0.5426, device='cuda:0')","tensor(0.3362, device='cuda:0')","tensor(0.5731, device='cuda:0')","tensor(0.4816, device='cuda:0')","tensor(0.1655, device='cuda:0')","tensor(2.0990, device='cuda:0')"
0,"tensor(0.6490, device='cuda:0')","tensor(0.2181, device='cuda:0')","tensor(0.9266, device='cuda:0')","tensor(0.6310, device='cuda:0')","tensor(0.1869, device='cuda:0')","tensor(2.6116, device='cuda:0')"
0,"tensor(0.2826, device='cuda:0')","tensor(0.1443, device='cuda:0')","tensor(0.5626, device='cuda:0')","tensor(0.3335, device='cuda:0')","tensor(0.1039, device='cuda:0')","tensor(1.4269, device='cuda:0')"
0,"tensor(0.2121, device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(0.5581, device='cuda:0')","tensor(0.3500, device='cuda:0')","tensor(0.0473, device='cuda:0')","tensor(1.1739, device='cuda:0')"
0,"tensor(0.5595, device='cuda:0')","tensor(0.2899, device='cuda:0')","tensor(0.5610, device='cuda:0')","tensor(0.5369, device='cuda:0')","tensor(0.2253, device='cuda:0')","tensor(2.1726, device='cuda:0')"
0,"tensor(0.5502, device='cuda:0')","tensor(0.2776, device='cuda:0')","tensor(0.6209, device='cuda:0')","tensor(0.5596, device='cuda:0')","tensor(0.2035, device='cuda:0')","tensor(2.2118, device='cuda:0')"
0,"tensor(0.3987, device='cuda:0')","tensor(0.1777, device='cuda:0')","tensor(0.6557, device='cuda:0')","tensor(0.4365, device='cuda:0')","tensor(0.0748, device='cuda:0')","tensor(1.7434, device='cuda:0')"
0,"tensor(0.2962, device='cuda:0')","tensor(0.1892, device='cuda:0')","tensor(0.6221, device='cuda:0')","tensor(0.3041, device='cuda:0')","tensor(0.0495, device='cuda:0')","tensor(1.4611, device='cuda:0')"
0,"tensor(0.4957, device='cuda:0')","tensor(0.3360, device='cuda:0')","tensor(0.6404, device='cuda:0')","tensor(0.3674, device='cuda:0')","tensor(0.1050, device='cuda:0')","tensor(1.9445, device='cuda:0')"
0,"tensor(0.3471, device='cuda:0')","tensor(0.2468, device='cuda:0')","tensor(0.5677, device='cuda:0')","tensor(0.2645, device='cuda:0')","tensor(0.0703, device='cuda:0')","tensor(1.4965, device='cuda:0')"
0,"tensor(0.2781, device='cuda:0')","tensor(0.1558, device='cuda:0')","tensor(0.5761, device='cuda:0')","tensor(0.2958, device='cuda:0')","tensor(0.0762, device='cuda:0')","tensor(1.3820, device='cuda:0')"
0,"tensor(0.5125, device='cuda:0')","tensor(0.3239, device='cuda:0')","tensor(0.6314, device='cuda:0')","tensor(0.4370, device='cuda:0')","tensor(0.1396, device='cuda:0')","tensor(2.0445, device='cuda:0')"
0,"tensor(0.1046, device='cuda:0')","tensor(0.0324, device='cuda:0')","tensor(0.5479, device='cuda:0')","tensor(0.1806, device='cuda:0')","tensor(0.0333, device='cuda:0')","tensor(0.8989, device='cuda:0')"
0,"tensor(0.2858, device='cuda:0')","tensor(0.1949, device='cuda:0')","tensor(0.5966, device='cuda:0')","tensor(0.3518, device='cuda:0')","tensor(0.1080, device='cuda:0')","tensor(1.5372, device='cuda:0')"
0,"tensor(0.4117, device='cuda:0')","tensor(0.2583, device='cuda:0')","tensor(0.6244, device='cuda:0')","tensor(0.4104, device='cuda:0')","tensor(0.1090, device='cuda:0')","tensor(1.8138, device='cuda:0')"
